Periodo,Industria,Genero,Valor
ene-96,Agricultura y ganadería,Mujeres,380.2
feb-96,Agricultura y ganadería,Mujeres,406.8
mar-96,Agricultura y ganadería,Mujeres,399.7
abr-96,Agricultura y ganadería,Mujeres,375.9
may-96,Agricultura y ganadería,Mujeres,395.6
jun-96,Agricultura y ganadería,Mujeres,554
jul-96,Agricultura y ganadería,Mujeres,410.1
ago-96,Agricultura y ganadería,Mujeres,410.6
sep-96,Agricultura y ganadería,Mujeres,410
oct-96,Agricultura y ganadería,Mujeres,414.4
nov-96,Agricultura y ganadería,Mujeres,401.7
dic-96,Agricultura y ganadería,Mujeres,550
ene-97,Agricultura y ganadería,Mujeres,398.5
feb-97,Agricultura y ganadería,Mujeres,417.5
mar-97,Agricultura y ganadería,Mujeres,410
abr-97,Agricultura y ganadería,Mujeres,405
may-97,Agricultura y ganadería,Mujeres,410.1
jun-97,Agricultura y ganadería,Mujeres,559.9
jul-97,Agricultura y ganadería,Mujeres,417.7
ago-97,Agricultura y ganadería,Mujeres,415.4
sep-97,Agricultura y ganadería,Mujeres,423.1
oct-97,Agricultura y ganadería,Mujeres,432.9
nov-97,Agricultura y ganadería,Mujeres,409.9
dic-97,Agricultura y ganadería,Mujeres,555.1
ene-98,Agricultura y ganadería,Mujeres,396.7
feb-98,Agricultura y ganadería,Mujeres,424.5
mar-98,Agricultura y ganadería,Mujeres,430.2
abr-98,Agricultura y ganadería,Mujeres,426.7
may-98,Agricultura y ganadería,Mujeres,419
jun-98,Agricultura y ganadería,Mujeres,591.3
jul-98,Agricultura y ganadería,Mujeres,418.2
ago-98,Agricultura y ganadería,Mujeres,421.3
sep-98,Agricultura y ganadería,Mujeres,423.1
oct-98,Agricultura y ganadería,Mujeres,422.7
nov-98,Agricultura y ganadería,Mujeres,404.8
dic-98,Agricultura y ganadería,Mujeres,567
ene-99,Agricultura y ganadería,Mujeres,405.3
feb-99,Agricultura y ganadería,Mujeres,424.8
mar-99,Agricultura y ganadería,Mujeres,435.1
abr-99,Agricultura y ganadería,Mujeres,411
may-99,Agricultura y ganadería,Mujeres,410.4
jun-99,Agricultura y ganadería,Mujeres,577.9
jul-99,Agricultura y ganadería,Mujeres,411.2
ago-99,Agricultura y ganadería,Mujeres,418.9
sep-99,Agricultura y ganadería,Mujeres,414.7
oct-99,Agricultura y ganadería,Mujeres,413.1
nov-99,Agricultura y ganadería,Mujeres,407.7
dic-99,Agricultura y ganadería,Mujeres,556.9
ene-00,Agricultura y ganadería,Mujeres,401.2
feb-00,Agricultura y ganadería,Mujeres,419.8
mar-00,Agricultura y ganadería,Mujeres,409.2
abr-00,Agricultura y ganadería,Mujeres,383.3
may-00,Agricultura y ganadería,Mujeres,395.9
jun-00,Agricultura y ganadería,Mujeres,533.4
jul-00,Agricultura y ganadería,Mujeres,384.1
ago-00,Agricultura y ganadería,Mujeres,388.5
sep-00,Agricultura y ganadería,Mujeres,392.8
oct-00,Agricultura y ganadería,Mujeres,405.9
nov-00,Agricultura y ganadería,Mujeres,396
dic-00,Agricultura y ganadería,Mujeres,541.7
ene-01,Agricultura y ganadería,Mujeres,373.2
feb-01,Agricultura y ganadería,Mujeres,420.4
mar-01,Agricultura y ganadería,Mujeres,409
abr-01,Agricultura y ganadería,Mujeres,402.2
may-01,Agricultura y ganadería,Mujeres,392.2
jun-01,Agricultura y ganadería,Mujeres,533.2
jul-01,Agricultura y ganadería,Mujeres,391.9
ago-01,Agricultura y ganadería,Mujeres,395.3
sep-01,Agricultura y ganadería,Mujeres,397.4
oct-01,Agricultura y ganadería,Mujeres,405
nov-01,Agricultura y ganadería,Mujeres,396.1
dic-01,Agricultura y ganadería,Mujeres,541.4
ene-02,Agricultura y ganadería,Mujeres,401.8
feb-02,Agricultura y ganadería,Mujeres,443
mar-02,Agricultura y ganadería,Mujeres,423.6
abr-02,Agricultura y ganadería,Mujeres,403.1
may-02,Agricultura y ganadería,Mujeres,405
jun-02,Agricultura y ganadería,Mujeres,562
jul-02,Agricultura y ganadería,Mujeres,422.8
ago-02,Agricultura y ganadería,Mujeres,438.7
sep-02,Agricultura y ganadería,Mujeres,461.2
oct-02,Agricultura y ganadería,Mujeres,464.8
nov-02,Agricultura y ganadería,Mujeres,462.5
dic-02,Agricultura y ganadería,Mujeres,634.2
